ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,What type of signal is represented by a sequence of values defined at discrete time instances?,Analog signal,Continuous-time signal,Discrete-time signal,Periodic signal,Discrete-time signal
2,"In signal processing, what type of signal is defined for every instant of time, forming a continuous curve?",Continuous-time signal,Discrete-time signal,Digital signal,Analog signal,Continuous-time signal
3,What type of signal exhibits unpredictable and non-repetitive behavior over time?,Periodic signal,Deterministic signal,Analog signal,Random signal,Random signal
4,What type of signal can be precisely predicted and described mathematically?,Analog signal,Deterministic signal,Digital signal,Discrete-time signal,Deterministic signal
5,"What type of signal is represented by discrete values, often in the form of binary code?",Continuous-time signal,Analog signal,Digital signal,Discrete-time signal,Digital signal
6,What term describes a signal that repeats its pattern over a specific interval of time?,Aperiodic signal,Periodic signal,Random signal,Non-periodic signal,Periodic signal
7,What type of signal does not exhibit a repetitive pattern over time?,Aperiodic signal,Periodic signal,Deterministic signal,Digital signal,Aperiodic signal
8,"In the classification of signals, what term is synonymous with 'Aperiodic signal'?",Non-repetitive signal,Stochastic signal,Non-periodic signal,Deterministic signal,Non-periodic signal
9,"What term refers to half of the sampling rate, representing the maximum frequency that can be accurately represented in a sampled signal?",Sampling rate,Aliasing frequency,Nyquist-Shannon frequency,Nyquist frequency,Nyquist frequency
10,"What principle states that in order to accurately reconstruct a continuous signal from its samples, the sampling frequency must be greater than twice the maximum frequency in the signal?",Sampling theorem,Nyquist criterion,Aliasing theorem,Shannon limit,Sampling theorem
11,"What phenomenon occurs when a high-frequency signal is improperly sampled, resulting in a lower-frequency signal that is indistinguishable from the original?",Oversampling,Undersampling,Aliasing,Nyquist effect,Aliasing
12,"In the context of signal processing, what term describes the situation where the sampling rate is insufficient to capture the frequency content of a signal?",Oversampling,Undersampling,Nyquist undershoot,Sampling deficiency,Undersampling
13,"What is another term for the Sampling theorem, emphasizing the condition that the sampling frequency must be at least twice the signal's maximum frequency?",Aliasing theorem,Nyquist-Shannon criterion,Nyquist criterion,Sampling limit,Nyquist criterion
14,"In practical applications, what component is used to eliminate high-frequency components from a sampled signal during the process of signal reconstruction?",Sampling filter,Reconstruction filter,Anti-aliasing filter,Nyquist filter,Reconstruction filter
15,What term describes the situation where the sampling rate is more than twice the signal's maximum frequency?,Oversampling,Undersampling,Aliasing,Sampling excess,Oversampling
16,"What condition occurs when the sampling rate is less than twice the signal's maximum frequency, leading to the phenomenon of aliasing?",Oversampling,Nyquist condition,Undersampling,Sampling deficiency,Undersampling
17,"Which type of filter is characterized by a difference equation that involves only present and past input values and coefficients, without feedback from output?",Infinite Impulse Response (IIR) filter,Finite Impulse Response (FIR) filter,Low-pass filter,Band-stop filter,Finite Impulse Response (FIR) filter
18,"In the context of filter design, what term is used to describe a difference equation that involves feedback from the output to the input?",Nonlinear,Linear,Recursive,Causal,Recursive
